"image","afraid","angry","delighted","disgusted","happy","joyful","nervous","prideful","sad","scared","surprised","threatened"
"a1",1,1,1,1,1,1,1,1,1,1,1,1
"a1",4,3,2,1,2,2,4,3,4,4,4,3
"a1",1,3,1,2,1,1,1,1,3,1,1,1
"a1",3,3,2,3,2,3,4,3,2,3,3,3
"a1",1,1,1,1,2,1,3,1,2,1,3,1
"a1",1,1,1,1,1,1,1,1,1,1,4,1
"a1",2,1,1,1,1,1,2,1,3,3,3,1
"a1",1,1,1,1,1,1,1,1,5,1,1,1
"a1",2,3,1,4,1,1,2,1,3,2,2,1
"a1",1,1,1,1,1,1,1,1,2,1,1,1
"a1",5,2,1,2,1,1,4,1,5,5,1,3
"a1",2,2,1,1,1,1,2,1,3,2,1,1
"a1",1,1,1,1,1,2,1,1,1,1,1,1
"a1",3,3,2,3,2,2,3,1,1,3,2,3
"a1",4,3,1,2,1,1,2,2,3,3,2,3
"a1",1,1,1,1,1,1,1,1,3,1,1,1
"a1",1,1,1,1,4,1,1,1,2,2,2,1
"a1",1,1,1,1,1,1,1,1,5,1,1,1
"a1",1,1,1,1,1,1,1,1,5,1,1,1
"a1",2,2,1,2,1,1,1,1,3,1,2,2
"a2",1,1,1,1,1,1,1,1,1,1,1,1
"a2",3,1,3,1,3,4,2,3,2,4,2,1
"a2",1,1,1,2,1,1,1,1,3,1,1,1
"a2",2,2,3,2,3,3,3,3,2,1,2,1
"a2",2,2,1,3,1,1,2,1,3,1,3,1
"a2",1,1,1,1,1,1,1,1,1,1,4,1
"a2",2,1,1,1,1,1,2,1,3,2,3,1
"a2",1,1,1,2,1,1,1,1,3,1,1,1
"a2",1,4,1,4,1,1,1,4,2,1,3,1
"a2",1,1,2,1,2,2,1,1,1,1,1,1
"a2",2,1,1,1,1,1,2,1,2,2,3,2
"a2",2,1,2,1,1,1,2,1,4,2,1,1
"a2",1,1,2,1,2,2,1,1,1,1,1,1
"a2",4,2,2,3,1,1,4,1,4,4,3,2
